protein1	protein2
PCK1	PSMA5
PCK1	PSMB1
PCK1	PSMB4
PCK1	PSMD12
PCK1	RPL4
PCK1	RPL10L
PCK1	RPL14
PCK1	RPL23
PCK1	RPS3A
PCK1	RPS15A
PCK1	SKP1
PCK1	TCP1
PCK1	CCT2
PCK1	CCT4
PCK1	CCT5
PCK1	C1QBP
PCK1	USP11
PCK1	TCEB1
PCK1	HLA-B
PCK1	GNA12
PCK1	HSP90AB2P
PCK1	DDX21
PCK1	MAGED1
PCK1	DDX3X
PCK1	MYLK2
PCK1	NUP62
PCK1	PSMB7
PCK1	GIGYF2
PCK1	PSMD2
PCK1	IRS4
PCK1	SRPRB
PCK1	FAF2
PCK1	PSMD6
PCK1	RPS3
PCK1	PSMD14
AURKA	HIST3H3
BRD4	BRD2
BRD4	WHSC1
BRD4	GLTSCR1
BRD4	WHSC1L1
BRD4	AK1
JMJD6	CLK4
PTK2	DAG1
RPS6KA4	MAPK1
IRAK4	HIST1H1A
IRAK4	HIST1H1B
IRAK4	HIST1H1C
IRAK4	HIST1H1D
IRAK4	HIST1H1E
IRAK4	HIST1H1T
IRAK4	EIF4EBP1
IRAK4	MBP
PRKCA	HIST1H1A
PRKCA	HIST1H1B
PRKCA	HIST1H1C
PRKCA	HIST1H1D
PRKCA	HIST1H1E
PRKCA	HIST1H1T
CDK9	MARS
MAPK3	ATP5B
MAPK3	HIST1H2AB
MAPK3	HIST1H4A
MAPK1	HIST1H2AB
MAPK1	HIST1H4A
MAPK3	MAPK3
JAK2	HIST3H3
TGFBR1	ITCH
IGF1R	ARRB1
JAK1	HIST3H3
CDK2	HIST1H1D
CDK4	HIST1H1D
CDK2	CDK2
CDK1	HIST1H1B
MERTK	MERTK
CDK5	H1F0
TTK	CASC5
CDK4	HIST1H1A
MAPKAPK5	MAPK4
CSNK2B	MAPKAPK2
MAPKAPK2	MAPKAPK2
MAPKAPK2	MAPK3
MAPKAPK5	MAPKAPK2
CDK3	CDK5R1
CDK9	CDK5R1
HIPK2	HIST2H2BE
CDK1	HIST1H1A
CSNK2A1	C1orf109
PRKCA	HIST3H3
PRKAB2	GNB2L1
CSNK2A1	H2AFX
PRKDC	HIST1H3A
CDK8	CDK8
CDK8	HIST2H3C
EGFR	ATXN2
DYRK1A	CLTC
LIMK1	HIST1H1A
LIMK2	HIST1H1A
STK11	GSK3B
ADRBK1	HDAC6
CSNK1D	KDR
MAP3K7	EIF2AK2
LATS1	MAST2
CSNK2B	ATXN3
TBK1	TBK1
RET	CBLC
PIK3R1	ZAP70
EPHB6	EPHB4
AURKB	GSG2
AURKB	HIST2H3C
LATS2	AURKB
LATS1	AURKB
IKBKB	MUC1
LCK	FAM174A
EPHA2	EPHA2
TNK2	AXL
TNK2	PDGFRB
TNK2	LTK
TNK2	ALK
PINK1	PINK1
RIPK2	CASP12
GSK3B	TAZ
PINK1	PRKDC
AKT1	WNK4
MAPK1	KARS
IKBKB	IKBKE
PRKACA	ITCH
CSNK2A1	ITCH
TNK2	HSP90AA1
AURKA	TFAP2A
MAP3K7	ATM
CASK	ARIH1
CASK	PARK2
TTN	NBR1
MAK	MAK
MAK	CDK20
NRBP1	TCEB2
NRBP1	TCEB1
ADRBK1	MDM2
ADRBK1	ARRB1
PRKD1	PRKD1
