protein1	protein2
CDK2	RPL23
CDK2	APOD
CDK2	PSMB6
CDK2	IARS
CDK2	RPL13
CDK2	UGP2
CDK2	CAD
CDK2	SF3B3
CDK2	PDIA6
CDK2	ST13
CDK2	QARS
CDK2	RPL31
CDK2	MYOF
CDK2	TRIM21
CDK2	HK1
CDK2	GDI1
CDK2	ATP5O
CDK2	YARS
CDK2	SART3
CDK2	SRSF7
CDK2	VARS
CDK2	PNN
CDK2	RPS28
CDK2	RPL3
CDK2	RPL27A
CDK2	GLG1
CDK2	NOMO1
CDK2	EIF2S3
CDK2	PSMA5
CDK2	CTPS1
CDK2	FUS
CDK2	RPS9
CDK2	PRDX6
CDK2	RPL34
CDK2	RPS23
CDK2	RPS8
CDK2	RBM17
CDK2	HNRNPM
CDK2	CYP2S1
CDK2	RPL10L
CDK2	MYL12B
CDK2	HADHA
CDK2	RPS24
CDK2	ATP5F1
CDK2	PAFAH1B2
CDK2	NPEPPS
CDK2	VDAC2
CDK2	NAP1L1
CDK2	CKB
CDK2	HADHB
CDK2	OAT
CDK2	HDLBP
CDK2	SNRPD2
CDK2	PNP
CDK2	RPS21
CDK2	EIF3C
CDK2	SARNP
CDK2	RPS12
CDK2	RPS7
CDK2	ATP1A1
CDK2	CLIC4
CDK2	WDR1
CDK2	EIF3H
CDK2	MARCKSL1
CDK2	ASNS
CDK2	RPL6
CDK2	CYB5R3
CDK2	AP1B1
CDK2	FH
CDK2	COPB1
CDK2	MIF
CDK2	CRABP2
CDK2	RPL18
CDK2	RPL28
CDK2	BZW1
CDK2	COG7
CDK2	VAT1
CDK2	DHRS1
CDK2	MAGOHB
CDK2	UPF1
CDK2	COQ6
CDK2	SERPINB9
CDK2	SSBP1
CDK2	TMED10
CDK2	S100A6
CDK2	ATP5L
CDK2	AARS
CDK2	CAPZB
CDK2	EEF1D
CDK2	VPS35
CDK2	COX2
CDK2	SEC23A
CDK2	MATR3
CDK2	EIF3E
CDK2	SAP18
CDK2	ACOT7
CDK2	DAD1
CDK2	G3BP2
CDK2	SSB
CDK2	ALDH18A1
CDK2	RPLP2
CDK2	RPS10
CDK2	NACA2
CDK2	IPO7
CDK2	ARPC2
CDK2	GNB2
CDK2	GCN1L1
CDK2	DSTN
CDK2	VPS39
CDK2	MDH2
CDK2	SNRPF
CDK2	ACP1
CDK2	HMGN2
CDK2	APOO
CDK2	ELAVL2
CDK2	SNRPE
CDK2	NHP2L1
CDK2	ATP5D
CDK2	RBM3
CDK2	ACOT13
CDK2	SSR4
CDK2	IFITM2
CDK2	EIF5A2
CDK2	ATP2A3
PIK3R1	GRB10
CDK4	H1F0
CDK1	H1F0
PIK3R1	BRCA1
PIK3R1	CRKL
PIK3R1	JAK2
PIK3R1	ALK
DYRK1A	PRD
KSR1	KSR1
TEX14	TEX14
MET	CBLC
HCK	CREBBP
TP53RK	C14orf142
TNK2	NPHP1
BUB1B	CASC5
MAPK8	MAP3K7
MAP3K1	MAP3K1
IKBKB	TRAPPC9
PIK3R1	CMIP
HIPK2	DYRK1A
HIPK2	DYRK1B
MAP3K1	HIPK2
MAP3K1	DYRK1A
MAP3K1	DYRK1B
RET	RET
CDKN2A	IKBKB
MAPK1	MAPK1
IKBKB	CSF2RA
ATM	PPP2R4
SYK	PIK3CG
IRAK1	HIST3H3
MAP2K7	MAP3K4
MAP2K6	MAP2K4
PRKDC	VPRBP
ATM	VPRBP
ATR	VPRBP
AURKB	BUB1B
ICK	MAPK1
ICK	CDC7
ICK	MNAT1
MAP3K4	RIPK2
CDK1	CDK1
ADRBK1	GNB1
ADRBK1	KCNIP3
PKN1	PKN1
MAP3K3	MAP3K3
MAP3K2	MAP3K2
RIPK1	RIPK1
NEK1	MRE11A
LCK	LCK
PRKCG	EXOC5
PRKCG	CCHCR1
MARK2	PPP2R4
MAP3K7	CCDC101
MAP2K3	MAP2K3
MAP2K4	MAP2K4
PLK3	AURKA
PLK3	BUB1B
LYN	LYN
TNK2	YES1
TNK2	HCK
TNK2	LYN
TNK2	NCK1
LRRK2	LRRK2
LRRK2	RIPK2
LRRK2	CLTC
LRRK1	LRRK1
LRRK1	BCR
LRRK1	ABL1
LRRK1	SOS1
LRRK2	ACTB
LRRK2	ACTA2
LRRK2	MYO1F
LRRK2	ATP5L
LRRK2	HIST1H3A
LRRK2	H3F3A
DAPK1	DAPK1
LRRK2	L3MBTL3
BUB1B	SGOL1
CHUK	BCL10
TNK2	CTTN
MARK3	MARK3
PIM1	PIM1
TNK2	TNK2
TNK2	KCNA5
AKT1	CAMK2A
AKT1	CLTC
AKT1	HK1
AKT1	ALDOA
GRK5	AP3D1
GRK5	ILF3
GRK5	MYO1C
GRK5	SRPK1
GRK5	STK38
GRK5	ARF1
GRK5	PRKDC
GRK5	BCR
GRK5	SKIV2L2
GRK5	MAP4K4
GRK5	EIF4A3
DAPK3	DAPK3
DAPK3	CHEK2
PAK2	HCK
PINK1	TOMM70A
ABL1	BMP2K
ABL1	CBLB
NLK	MAP3K7
NLK	NLK
MAPK8	MAPK8
ATM	MAPK14
GTF2F1	CDK8
ROR2	MAP3K7
TTK	CDK2
MAP3K7	PRKAA1
MAP3K7	PRKAB1
EGFR	C11orf84
EGFR	ODF3L2
CDK7	CDK7
FYN	CLTC
AKT1	ACTB
MAPK9	MAP2K7
MAPK8	MAP2K1
MAPK8	MAP2K2
STK38	STK38
DYRK1A	MAP3K5
PRKCD	HIST1H1B
PRKCA	PFKFB1
AKT1	PFKFB1
CHEK1	NEK2
PRKCB	HIST1H1A
PRKCZ	HIST1H1A
PRKCB	LSP1
CDK16	APP
AURKA	APP
ZAP70	APP
HK1	APP
CDK17	APP
STK25	APP
LATS1	APP
GAK	APP
CDKL3	APP
NUAK2	APP
MAPKAPK3	APP
DYRK2	APP
GALK1	APP
PAK6	APP
MKNK1	APP
PAPSS2	APP
CSNK1G2	APP
PAK2	APP
AURKB	APP
CLK3	APP
STK40	APP
PRKCI	APP
BCKDK	APP
CDK3	APP
TK1	APP
BMX	APP
ULK4	APP
BMPR1B	APP
PCK1	APP
CSNK1E	APP
CHKA	APP
TTK	APP
STK17B	APP
CSNK2A1	APP
AK4	APP
TSSK2	APP
TSSK6	APP
SGK2	APP
CAMK1D	APP
SIK2	APP
CSNK1G1	APP
STK33	APP
ICK	APP
PAK1	APP
MAK	APP
NIM1K	APP
PRPSAP2	APP
CHEK1	APP
PCK2	APP
NEK11	APP
CDC7	APP
STK26	APP
RIOK2	APP
CDKN2B	APP
RPS6KA6	APP
OXSR1	APP
SGK3	APP
AAK1	APP
SRPK1	APP
AK1	APP
CAMKK1	APP
CDK18	APP
MAP2K3	APP
PFKL	APP
CDK7	APP
CDKL2	APP
CHEK2	APP
CAMKV	APP
DAPK2	APP
HCK	APP
FN3KRP	APP
ROR1	APP
IGF1R	APP
PRKAB1	APP
RPS6KA5	APP
CAMK1	APP
TBCK	APP
MAST2	APP
BTK	APP
PTK6	APP
RIOK1	APP
NMRK1	APP
TRIB3	APP
PDK3	APP
NTRK3	APP
TRIB2	APP
CDKN2D	APP
NMRK2	APP
PIM1	APP
PAK1	CRIPAK
PFKM	PFKL
MAPK9	STK25
NADK2	TMEM189
CDK9	GSS
PHKA2	KIAA0196
MAPK9	PKN1
DAK	FLAD1
DGKQ	CCBL1
NADK2	SUCLA2
PHKB	RAVER1
VRK1	WIBG
CSNK1A1	PIP5K1A
DAK	ENO3
AK2	RAVER1
MVK	MAT1A
PI4KA	HARS
AURKA	TARS
PRPS1	NARS
DAK	ACAT2
MAPK1	NEB
CDK9	OXSR1
DAK	GBE1
PRKAR1A	MEN1
PFKP	EPRS
DAK	C12orf10
DAK	AGL
IGF1R	RUVBL1
CSNK2A1	MDFIC
CDK12	TCEB3
CDKN2A	ATR
FGFR3	FGFR3
PIK3R1	EP300
MAP3K7	WDR34
CDK6	HIST1H1A
MAPK9	BCL10
MAP3K7	BCL10
MAP2K7	BCL10
MAP3K7	TAOK1
PTK6	ERBB2
PTK6	PTK6
PRKCB	PRKCB
PRKCB	H1F0
ATM	CDKN2C
ATR	CDKN2C
CDK14	CDK14
FGFR1	PTK6
PINK1	MAP3K7
CDC7	CDC7
CAMK4	NOTCH1
TRRAP	MRE11A
MAP3K11	MAP3K11
TNK2	SIAH1
PINK1	IRAK1
EGFR	CTGF
JAK2	JAK2
PRKCD	PRKCD
JAK1	JAK1
LATS1	FOXL2
ADRBK1	ADRB2
ADRBK1	PEBP1
ICK	CD247
AURKB	SEPT1
PRKDC	GSK3A
VRK2	MAP3K7
VRK2	MAP2K7
VRK2	MAPK8
FLT4	FIGF
ERBB2	CLTC
MAPK8	PKMYT1
MAPK10	PKMYT1
MAPK9	MAPK9
MAPK10	MAPK10
BTK	ATP5A1
BTK	ATP5B
CDK2	HIST1H4A
STK3	STK3
HCK	ACTB
HK1	ATF2
PKN1	MAPK12
PKN1	MAPK11
PRKCQ	MALT1
RPS6KB2	BRAF
ICK	HSP90AA1
TSSK2	HSP90AA1
CSNK2A1	CD2BP2
CSNK2A1	SEPT2
CSNK2A1	ALKBH5
CSNK2A1	ARL6IP4
CSNK2A1	ATP5A1
CSNK2A1	CPSF7
CSNK2A1	HDGFRP2
CSNK2A1	CANX
CSNK2A1	CLASP2
CDK4	ANKRD12
CDK6	TCEB3B
CDK6	CBY1
CDK6	ANKRD12
CDK6	ATF6B
BRAF	BRAF
BRAF	ARAF
GSK3B	MAP3K11
IKBKE	IKBKE
JAK2	ERBB3
HCK	ERBB3
FGFR1	ERBB3
FER	ERBB3
SYK	ERBB4
EGFR	BLK
ERBB2	BLK
ERBB2	TENC1
ERBB3	TENC1
PRKD2	CASK
PRKD2	GLRX3
PRKD2	DST
PRKD2	GORASP1
PRKD2	PDLIM7
PRKD2	GRIP1
PRKD2	MTF2
PRKD2	HEY1
HIPK3	C1QA
HIPK3	ARRB2
HIPK3	HEYL
PRKACA	SIK1
CHUK	RIPK2
CHUK	ERBB2IP
PRKCB	CASR
MAPK8	CDKN2C
MAPK10	CDKN2C
SRC	CSNK2A1
MELK	MELK
MAP3K10	MAP3K10
JAK3	JAK2
JAK3	TYK2
PRKCA	PRKCA
FGFR4	FGFR4
BCR	ERBB2IP
SMG1	EIF4A3
AKT1	AKT1
MAP2K4	MAPK1
STK3	AKT1
AKT1	CSK
PAK2	PAK2
LATS1	PLK1
PDK1	PDK1
PRKCB	HIST1H1B
PRKCZ	HIST1H1B
CDK5	HIST1H1B
PIK3R1	ESR1
PRKCB	MARCKS
AKT1	IGSF8
TRIB3	PRMT5
MAPK7	ATP5A1
MAPK7	ACTB
CDKN2B	PYCRL
PRKCB	NUMB
LYN	PAK1
LYN	RDX
LYN	MAATS1
LYN	TPTE2
LYN	ERO1L
LYN	HDGFRP3
LYN	C21orf59
LYN	SLC12A4
LYN	DKFZP434K028
LYN	C2orf47
RAF1	RAF1
PIK3R1	DAB2IP
PIK3R1	MAP3K5
CDK9	SKIV2L
ULK1	ULK1
EPHB1	SLC9A3R1
IRAK4	SASH1
KDR	MYO1C
SYK	TBK1
SYK	MAP3K7
EGFR	HBA1
EGFR	KIAA1524
EGFR	PTRF
EGFR	GCN1L1
EGFR	DARS
EGFR	DFNA5
EGFR	EPRS
EGFR	PFKL
EGFR	MARS
EGFR	EIF2B5
EGFR	IARS
EGFR	KIAA1244
EGFR	DOPEY2
EGFR	RARS
ACVR1	ACVR1
ZAP70	ZAP70
RPS6KA5	ZAK
MKNK1	RCN3
CDK11A	GADD45A
CSNK1E	SDCCAG3
CSNK2B	FTH1
CASK	SMEK1
TGM2	TMEM176A
CASK	PCBP2
CHEK2	NR4A1
CSNK1E	TENC1
MAPK14	UGT2B10
MAPK14	TMEM63B
CSNK2B	EPS8
CSNK2B	FGB
CSNK2B	GAMT
CSNK2B	HTRA1
CSNK2B	STAT5A
CSNK2B	SEC11A
CSNK2B	POT1
CSNK2B	PHRF1
CSNK2B	SHANK3
CSNK2B	SPSB3
NME2	NME4
MAPK8	SSU72
MAPK9	SSU72
CSNK2A2	TGM2
GK	IPO13
HIPK2	MKNK1
EPHA2	RBL1
PRKAB2	YY1AP1
CSNK2A2	LAMC3
IRAK3	NSA2
PKN1	WBSCR22
STK3	ZC3H7A
CSNK2A2	DCPS
MAPK8	SCOC
AURKB	GNB2L1
ACVR1B	BAG6
ADRBK1	EPHA2
ADRBK1	RASGRF1
AKT2	CCL14
AKT2	SPRR2A
AKT2	SORBS2
CDK11B	MSN
CDK11B	RPS27A
AKT2	TMED2
CDK11B	TPPP
CSNK2A2	HIST1H1C
CSNK2A2	P4HB
CSNK2A2	ZNHIT3
EPHA2	CDK17
AKT2	POFUT1
AKT2	STEAP4
NME1	SMARCD1
PAK2	RIOK3
PRKAB2	PRKAB2
MAPK1	PRPSAP1
MAP2K2	ZNF207
STK3	SULT2A1
PLK1	RABAC1
IRAK3	NONO
IRAK3	NTRK3
IRAK3	LDB1
MAPK9	TUSC2
CSNK2A2	TTLL12
DMPK	GEMIN4
EPHA2	LSM7
GK	OPLAH
MAP4K4	NME7
RPS6KA5	TXNDC11
PRKAR1A	SETD7
MAPK1	SHANK3
BCKDK	LSM8
SYK	FCGR3A
SIK3	MAP3K7
NEK6	RPS7
NEK6	NEK6
FLT3	FLT3
CDK4	CDK13
CLK3	CLK3
CDK6	CDK6
ICK	CPSF1
DYRK1B	CDKN2A
SRPK2	PRPF4B
SRPK2	SRPK2
SRPK2	EIF4A3
SRPK2	C1orf35
SRPK2	HNRNPCL1
HIPK4	ARAF
SRPK1	EIF4A3
SRPK1	C1orf35
MAPK3	MAPK1
NLK	C2orf44
MAPK4	FASTKD5
MAPK4	FAM57A
CDK5	CDK5
CDK5	KIAA0195
MAPK6	MAPK6
CDK11A	C18orf25
CDK11A	HKR1
CLK2	CLK2
CLK2	SKIV2L2
SRPK3	PRPF4B
SRPK3	NHP2L1
PRPF4B	MAPK12
MAPK15	MAPK12
CDK14	CAMK1
MAPK9	MAPK10
MAPK11	CUL7
CDK6	AMY2A
DYRK1B	ARNTL
SRPK3	MAPK12
CDK2	CDK13
ICK	PSMC6
MAPK15	B2M
HIPK1	NEB
CDK15	ROCK1
CDK20	RAF1
SRPK2	CDK13
HIPK4	RAF1
MOK	INSR
SRPK2	EIF1AY
SRPK2	CASK
SRPK2	AURKA
SRPK2	CHUK
SRPK2	ABL1
SRPK2	CDK7
SRPK2	PRKAA1
SRPK2	C17orf85
SRPK2	CCDC28A
SRPK2	GPR114
SRPK2	MARCH10
SRPK2	C18orf25
SRPK2	VIMP
SRPK1	AURKA
SRPK1	CHUK
SRPK1	PDPK1
SRPK1	H2AFY
SRPK1	ERBB2
SRPK1	PDGFRA
SRPK1	FLT1
SRPK1	EPHA3
SRPK1	CDK7
SRPK1	LIMK1
SRPK1	MAPK12
SRPK1	PTK2
SRPK1	CAMK2D
SRPK1	MAPK14
SRPK1	ODF3L2
SRPK1	KIAA1841
SRPK1	C11orf63
SRPK1	CDKL3
SRPK1	OR6B3
SRPK1	C18orf25
SRPK1	SLC4A1AP
SRPK1	CLK4
SRPK1	RPS6KB2
SRPK1	AURKC
SRPK1	LINC00312
LATS1	ASS1
LATS1	DNAJC11
LATS1	INADL
LATS1	KIRREL
LATS1	SDCCAG3
LATS2	ALDH18A1
LATS2	BAG2
LATS2	CCDC77
LATS2	CCDC85C
LATS2	CCDC88C
LATS2	CENPJ
LATS2	CEP89
LATS2	CPVL
LATS2	CSPP1
LATS2	CUL7
LATS2	CYLD
LATS2	DNAJA3
LATS2	AMER1
LATS2	FBXL16
LATS2	GIGYF1
LATS2	GRIP1
LATS2	IFFO1
LATS2	INADL
LATS2	KIAA0368
LATS2	KIAA1462
LATS2	LATS2
LATS2	LETM1
LATS2	LNX2
LATS2	LONP1
LATS2	MIPOL1
LATS2	MLLT4
LATS2	MPHOSPH9
LATS2	MPP5
LATS2	NCKAP5L
LATS2	NIN
LATS2	NINL
LATS2	NME7
LATS2	NOTCH1
LATS2	NUP160
LATS2	PDZD11
LATS2	PHLDB2
LATS2	PLEKHA1
LATS2	PLEKHG1
LATS2	PLOD1
LATS2	PNMA2
LATS2	PPFIBP1
LATS2	PPP2R1A
LATS2	RBM15
LATS2	RCN2
LATS2	SDCCAG3
LATS2	SORBS1
LATS2	SSX2IP
LATS2	STK4
LATS2	STXBP4
LATS2	TBK1
LATS2	TBKBP1
LATS2	TRIM27
LATS2	TRIM37
LATS2	USP54
STK3	AURKB
STK3	ERLIN2
STK3	PRKRIR
STK3	RAE1
STK3	RUNDC3B
STK4	PRKRIR
STK4	RAB8A
STK4	SH3GLB2
STK4	SNX5
PIK3R1	CD40
PIK3R1	ALOX5
FGFR1	RPS6KA3
CDK11B	CDK11B
CDKN2A	ACTB
RIPK2	KDM3A
RIPK2	PRMT2
TRIB2	PRMT6
PRKCQ	PRKCQ
TP53RK	AARSD1
EEF2K	ACTR2
MAPK14	ADSS
HK1	AHCY
CSNK2B	AMPD2
OXSR1	ANP32A
HK1	ASL
JMJD6	ASUN
EEF2K	CALR
HK1	CAPN2
SCYL1	CRTC3
RPS6KA3	DFFA
JMJD6	CARS
PKM	EIF4A3
DAK	FERMT2
DAK	GBP1
HK1	GTF3C4
PAPSS1	HMGB3
NAGK	HSPD1
PRPSAP2	IQGAP1
JMJD6	KARS
ROCK2	KIAA0196
PANK4	KIAA1279
PRKACB	KIAA1279
TP53RK	KIAA1279
DAK	NANS
PRKACA	NASP
DAK	NPEPPS
HK1	NSFL1C
PANK4	NSUN2
HK1	PARP6
HK1	PCNA
STK39	PCNA
DAK	PDIA3
HK1	PLAA
BUB1B	PNMA2
JMJD6	PPP2R5C
TP53RK	PRKACB
STK26	PROSC
NAGK	PROSC
PAPSS1	PTMA
ROCK2	RABGEF1
PAPSS2	RIC8A
OXSR1	RPL17
CDKN2A	RPP38
NRBP1	SART3
TP53RK	SH3GL1
DAK	SLC9A3R1
RPS6KA3	SLC9A3R1
NAGK	C11orf58
DAK	SMS
JMJD6	SWAP70
TP53RK	TOM1L1
PANK4	TPD52L2
JMJD6	TROVE2
HK1	TUBB2A
PAPSS2	TUBB2A
HK1	TUFM
HK1	TWF2
HK1	UBA5
PRKACA	UBQLN2
HK1	UBXN1
PRKACA	UGDH
BUB1B	UGP2
DAK	YWHAB
CDK1	ZRANB2
LATS2	TAZ
CSNK1E	TAZ
TNK2	SQSTM1
TNK2	NBR1
PRKCB	MBP
DDR2	CBLB
EPHA2	CLTC
MAP4K1	CUL7
MAP4K1	MAP4K1
ATM	BCL10
PHKG2	PHKA2
PHKG2	PHKA1
PHKG2	GCN1L1
PRKACA	PALM2-AKAP2
CSNK2A2	BRD2
CSNK2A2	CSNK2A1
CSNK2A2	C11orf57
CSNK2A2	HDGFRP2
CSNK2A2	C18orf25
ADRBK1	HSP90AA1
ADRBK1	HSP90AB1
ADRBK1	ADRBK2
ADRBK1	ACACA
CSK	TENC1
CSNK1E	CSNK1D
CSNK1E	TCEB2
GSK3B	PRUNE
CDK5	CDK3
CDK5	CDK18
PRKCD	PRKCB
STK3	NEB
STK3	CDK3
ILK	GCN1L1
RPS6KA1	CSNK2B
RPS6KA1	MASTL
MAPK14	CUL7
TP53RK	INADL
PASK	NOL9
PASK	PRKRIR
PASK	IKBKAP
EGFR	PANK4
EGFR	OXSR1
EGFR	PRKAG1
EGFR	UBA2
EGFR	MAP2K2
EGFR	AP3D1
EGFR	RIOK2
EGFR	HK1
EGFR	ATP5L
EGFR	ITCH
EGFR	PLD3
EGFR	STK26
EGFR	UBE2G2
EGFR	AP3M1
EGFR	AP1S2
EGFR	CSNK2A1
EGFR	EIF2AK2
EGFR	AP3S1
EGFR	VRK1
AURKB	HIST2H2AC
AURKB	HIST2H2AA3
ARAF	GNA12
TNK2	NTRK1
TNK2	NTRK2
TNK2	NTRK3
MAPK3	L3MBTL3
PRKAB2	FAM208B
PRKAB2	CCDC36
ROCK1	IKBKB
AURKA	HSPA5
AURKA	TCEAL4
AURKA	RPS19
AURKA	RPS3
AURKA	PRRC2C
AURKA	RPS14
AURKA	RPS16
AURKA	FTH1
AURKA	RPS4X
AURKA	MFAP4
AURKA	RPL30
AURKA	EPRS
AURKA	RPS3A
AURKA	ILF3
AURKA	RPL22
AURKA	MRPS22
AURKA	RPS5
AURKA	PSMA1
AURKA	HNRNPU
AURKA	RPL23
AURKA	FTL
AURKA	TRIM28
AURKA	DGCR14
AURKA	IARS
AURKA	RPS10
AURKA	SRP9
AURKA	DDX5
AURKA	HNRNPA2B1
AURKA	RPL12
AURKA	RPL27
AURKA	CTPS1
AURKA	MATR3
AURKA	ZSWIM8
AURKA	PDCD6
AURKA	IRS4
AURKA	RPS27
AURKA	PCMT1
AURKA	RPL11
AURKA	UQCC2
AURKA	MRPL24
AURKA	CTNND1
AURKA	DCAF7
AURKA	ATAD3B
AURKA	RPS11
AURKA	SEC61G
AURKB	IRS4
AURKB	RAVER1
AURKB	HSPA5
AURKB	MOGS
AURKB	PHKB
AURKB	TBC1D4
AURKB	UBR4
AURKB	HSPA9
AURKB	ABR
AURKB	AURKA
AURKB	TCEAL4
AURKB	UBR5
AURKB	MARK2
AURKB	EIF4EBP3
AURKB	DOCK7
AURKB	AMOT
AURKB	MRPS27
AURKB	MTMR1
AURKB	RPL10
AURKB	PPFIA1
AURKB	RPS27
AURKB	CLINT1
IGF1R	PHB2
YES1	SPRR2A
IKBKB	MTOR
ABL2	ABL2
MST1	FOXO1
MAP2K6	MAPK1
CDK1	ABL1
GTF2F1	ABL1
PIK3R1	NCL
TGFBR1	NOTCH1
ERN1	FBXL21
SRC	POLR2A
SRC	POLR2B
SRC	POLR2C
SRC	POLR2D
SRC	POLR2E
SRC	POLR2F
SRC	POLR2G
SRC	POLR2H
SRC	POLR2I
SRC	POLR2L
SRC	POLR2J
SRC	POLR2K
MAP3K4	MAP3K4
TRIB2	RFWD2
STK36	STK36
AXL	TYRO3
TNK2	TRIM50
CAMK2B	ACOT7
CAMK2D	CAMK2D
CDK6	PSMA3
CDKN2B	CCDC33
CLK2	UBE2I
CLK3	KRTAP10-3
EPHB6	NOTCH2NL
HCK	GOPC
HCK	NOTCH2NL
MOS	MID2
MOS	CCNDBP1
MOS	C17orf59
MOS	CCDC136
MOS	CCDC102B
MOS	ATRIP
MOS	LZTS2
MOS	KRT40
MOS	DYDC1
ROR2	ROR2
ROR2	RBPMS
CDK18	CCNDBP1
CDK18	CCDC102B
PDGFRA	CCDC155
PFKL	PFKL
PFKL	KRTAP10-7
PFKM	PFKM
PIM1	FXR2
PIM1	BANP
PIM1	HEXIM2
PIM1	BEND7
PRKAA1	BHLHE40
PRKAA1	MTUS2
PRKAA1	RAD54B
PRKAA1	HOMEZ
PRKAA1	HMBOX1
PRKAA1	L3MBTL3
PRKAA1	PNMA5
PRKAA1	KRT40
PRKAA2	AIMP2
PRKAA2	APPBP2
PRKAA2	NECAB2
PRKAA2	HMBOX1
PRKAA2	L3MBTL3
PRKAA2	NUTM1
PRKAA2	KCTD1
PRKAA2	KIF24
PRKAA2	KRTAP10-3
PRKAA2	NOTCH2NL
PRKAB2	KRTAP4-12
PRKAB2	KRTAP4-2
PRKAB2	KRT40
PRKAB2	KRTAP10-7
PRKAB2	KRTAP10-9
PRKAB2	KRTAP10-5
PRKAB2	KRTAP10-8
PRKAB2	KRTAP10-3
PRKAG1	KEAP1
PRKAG1	C1orf94
PRKAG1	KRTAP4-2
PRKAG1	KRTAP10-3
MAPK9	CCDC33
MAPK9	L3MBTL3
MAPK9	C1orf94
PRPS2	PRPS2
PRPS2	NOTCH2NL
ALDH18A1	AGTRAP
RET	NOTCH2NL
RNASEL	TCF12
ROCK1	POLR3C
ROCK1	C6orf165
ROCK1	FAM124A
STK3	GMCL1
STK3	FAM9B
TIE1	RBPMS
TIE1	KRT40
TYK2	KRT40
TYRO3	KRT40
TYRO3	KRTAP10-7
TYRO3	KRTAP10-9
TYRO3	KRTAP10-8
TYRO3	KRTAP10-3
YES1	SSBP3
YES1	NIF3L1
YES1	C1orf94
STK16	DNAJA3
STK16	CALCOCO2
STK16	SPRY2
STK16	MTUS2
STK16	EFEMP2
STK16	PLSCR3
STK16	NIF3L1
STK16	CCDC33
STK16	EFHC2
STK16	ALS2CR12
STK16	KRTAP13-1
STK16	FAM154A
STK16	RFX6
STK16	KRTAP10-7
STK16	KRTAP10-9
STK16	KRTAP10-5
STK16	KRTAP10-8
STK16	KRTAP10-3
STK16	NOTCH2NL
CDK5R1	BLOC1S6
CDK5R1	KRTAP10-3
CDK5R1	NOTCH2NL
LATS1	CEP76
LATS1	FSD2
TBRG4	CALCOCO2
TBRG4	AGTRAP
TBRG4	FAM9B
TLK1	LUZP4
TNK2	NEK6
TNK2	KRTAP10-3
TNK2	NOTCH2NL
STK25	CCNDBP1
STK25	CEP70
STK25	CCDC36
PLK4	C1orf109
NEK6	HSD17B14
NEK6	FAM208B
NEK6	LZTS2
NEK6	KRT40
NEK6	CCDC36
JMJD6	FRMD6
CDKL3	CCDC155
NLK	KRTAP10-3
ZAK	ZFP2
CSNK1G1	CEP76
ADCK3	AGTRAP
ADCK3	TMEM159
ADCK3	REEP6
ADCK3	TMEM239
PAK7	CARD9
PAK7	LENG1
PAK7	GCC1
PAK7	ARMC7
PAK7	ATPAF2
PAK7	FAM212A
CLK4	KRTAP10-3
MARK4	KRT40
MARK4	NOTCH2NL
FASTKD3	FAM9B
TSSK3	TRIM9
GLYCTK	FAM154A
ADCK5	NOTCH2NL
PRKCB	EP300
ALK	ACTB
ALK	GNB2L1
ALK	SRC
ATM	ZEB1
CLK2	BRCA1
PRKAG3	BRCA1
SGK1	SGK1
BRSK1	PAK1
CDK9	HIST2H2BE
LATS1	TAZ
LATS1	CAV1
LATS1	PABPN1
CDK2	HIST1H2AB
CDK2	HIST1H2BB
EGFR	SSBP1
EGFR	DPM1
EGFR	HSD17B10
EGFR	DYNC1LI1
EGFR	YARS
EGFR	KIAA0368
EGFR	SULT1A1
EGFR	CLPX
EGFR	SRPR
EGFR	VARS
EGFR	MRTO4
EGFR	EIF3M
EGFR	TRMT10C
EGFR	TIMM23
EGFR	SSR4
EGFR	RPRD1A
EGFR	MYO1D
EGFR	AFG3L2
EGFR	CCDC47
EGFR	SMC1A
EGFR	NDUFA9
EGFR	UMPS
EGFR	CLPP
EGFR	CPVL
EGFR	TM9SF3
EGFR	LONP1
EGFR	RPL38
EGFR	COPA
EGFR	APRT
EGFR	NSF
EGFR	NSUN5
EGFR	ATAD1
EGFR	POLDIP2
EGFR	SCFD1
EGFR	NDUFS1
EGFR	SAMHD1
EGFR	NDUFS3
EGFR	ACADSB
EGFR	ORC5
EGFR	PUS1
EGFR	SDF2L1
EGFR	TARS
EGFR	DDX47
EGFR	PYCR2
EGFR	MYO1C
EGFR	DHRS7B
EGFR	RFC5
EGFR	YBEY
EGFR	EEF1B2
EGFR	TTC37
EGFR	CARS2
EGFR	MINOS1
EGFR	PELO
EGFR	MRPL10
EGFR	FAR1
EGFR	ABCF2
EGFR	MPC2
EGFR	NCAPG
EGFR	TARS2
EGFR	COX2
EGFR	PNO1
EGFR	IFIT5
EGFR	EIF3K
EGFR	CHCHD3
EGFR	TOR1AIP1
EGFR	EIF3F
EGFR	CMSS1
EGFR	RPS15A
EGFR	NCAPH
EGFR	RFC3
EGFR	TOMM22
EGFR	TUBGCP2
EGFR	LARP4
EGFR	ABCD3
EGFR	CDIPT
EGFR	SDF2
EGFR	DIMT1
EGFR	SRPRB
EGFR	TRMT2A
EGFR	ADCK3
EGFR	RER1
EGFR	IDH3B
EGFR	C6orf120
EGFR	BZW1
EGFR	TRMT1L
EGFR	NSUN2
EGFR	SFXN3
EGFR	UFL1
EGFR	SUGP2
EGFR	IKBKAP
EGFR	PDS5A
EGFR	ATP5F1
